Original Name,User-Friendly Name
advisor_a_tokens_burned,Advisor A Tokens Burned
advisor_a_tokens_burned_cum,Advisor A Tokens Burned Cum
advisor_a_selling_tokens,Advisor A Selling Tokens
advisor_a_utility_tokens,Advisor A Utility Tokens
advisor_a_holding_tokens,Advisor A Holding Tokens
advisor_a_selling_from_holding_tokens,Advisor A Selling From Holding Tokens
advisor_a_utility_from_holding_tokens,Advisor A Utility From Holding Tokens
advisor_a_holding_from_holding_tokens,Advisor A Holding From Holding Tokens
advisor_a_actions,Advisor A Actions
advisor_a_current_action,Advisor A Current Action
strategic_partners_agents,Strategic Partners Agents
strategic_partners_a_name,Strategic Partners A Name
strategic_partners_a_type,Strategic Partners A Type
strategic_partners_a_usd_funds,Strategic Partners A Usd Funds
strategic_partners_a_tokens,Strategic Partners A Tokens
strategic_partners_a_tokens_vested,Strategic Partners A Tokens Vested
strategic_partners_a_tokens_vested_cum,Strategic Partners A Tokens Vested Cum
strategic_partners_a_tokens_airdropped,Strategic Partners A Tokens Airdropped
strategic_partners_a_tokens_airdropped_cum,Strategic Partners A Tokens Airdropped Cum
strategic_partners_a_tokens_incentivised,Strategic Partners A Tokens Incentivised
strategic_partners_a_tokens_incentivised_cum,Strategic Partners A Tokens Incentivised Cum
strategic_partners_a_tokens_apr_locked,Strategic Partners A Tokens Apr Locked
strategic_partners_a_tokens_apr_locked_cum,Strategic Partners A Tokens Apr Locked Cum
strategic_partners_a_tokens_apr_locked_remove,Strategic Partners A Tokens Apr Locked Remove
strategic_partners_a_tokens_apr_locked_rewards,Strategic Partners A Tokens Apr Locked Rewards
strategic_partners_a_tokens_buyback_locked,Strategic Partners A Tokens Buyback Locked
strategic_partners_a_tokens_buyback_locked_cum,Strategic Partners A Tokens Buyback Locked Cum
strategic_partners_a_tokens_buyback_locked_remove,Strategic Partners A Tokens Buyback Locked Remove
strategic_partners_a_tokens_buyback_locked_rewards,Strategic Partners A Tokens Buyback Locked Rewards
strategic_partners_a_tokens_staking_vesting_locked,Strategic Partners A Tokens Staking Vesting Locked
strategic_partners_a_tokens_staking_vesting_locked_cum,Strategic Partners A Tokens Staking Vesting Locked Cum
strategic_partners_a_tokens_staking_vesting_locked_remove,Strategic Partners A Tokens Staking Vesting Locked Remove
strategic_partners_a_tokens_staking_vesting_locked_rewards,Strategic Partners A Tokens Staking Vesting Locked Rewards
strategic_partners_a_tokens_liquidity_mining,Strategic Partners A Tokens Liquidity Mining
strategic_partners_a_tokens_liquidity_mining_cum,Strategic Partners A Tokens Liquidity Mining Cum
strategic_partners_a_tokens_liquidity_mining_remove,Strategic Partners A Tokens Liquidity Mining Remove
strategic_partners_a_tokens_liquidity_mining_rewards,Strategic Partners A Tokens Liquidity Mining Rewards
strategic_partners_a_tokens_transferred,Strategic Partners A Tokens Transferred
strategic_partners_a_tokens_transferred_cum,Strategic Partners A Tokens Transferred Cum
strategic_partners_a_tokens_burned,Strategic Partners A Tokens Burned
strategic_partners_a_tokens_burned_cum,Strategic Partners A Tokens Burned Cum
strategic_partners_a_selling_tokens,Strategic Partners A Selling Tokens
strategic_partners_a_utility_tokens,Strategic Partners A Utility Tokens
strategic_partners_a_holding_tokens,Strategic Partners A Holding Tokens
strategic_partners_a_selling_from_holding_tokens,Strategic Partners A Selling From Holding Tokens
strategic_partners_a_utility_from_holding_tokens,Strategic Partners A Utility From Holding Tokens
strategic_partners_a_holding_from_holding_tokens,Strategic Partners A Holding From Holding Tokens
strategic_partners_a_actions,Strategic Partners A Actions
strategic_partners_a_current_action,Strategic Partners A Current Action
reserve_agents,Reserve Agents
reserve_a_name,Reserve A Name
reserve_a_type,Reserve A Type
reserve_a_usd_funds,Reserve A Usd Funds
reserve_a_tokens,Reserve A Tokens
reserve_a_tokens_vested,Reserve A Tokens Vested
reserve_a_tokens_vested_cum,Reserve A Tokens Vested Cum
reserve_a_tokens_airdropped,Reserve A Tokens Airdropped
reserve_a_tokens_airdropped_cum,Reserve A Tokens Airdropped Cum
reserve_a_tokens_incentivised,Reserve A Tokens Incentivised
reserve_a_tokens_incentivised_cum,Reserve A Tokens Incentivised Cum
reserve_a_tokens_apr_locked,Reserve A Tokens Apr Locked
reserve_a_tokens_apr_locked_cum,Reserve A Tokens Apr Locked Cum
reserve_a_tokens_apr_locked_remove,Reserve A Tokens Apr Locked Remove
reserve_a_tokens_apr_locked_rewards,Reserve A Tokens Apr Locked Rewards
reserve_a_tokens_buyback_locked,Reserve A Tokens Buyback Locked
reserve_a_tokens_buyback_locked_cum,Reserve A Tokens Buyback Locked Cum
reserve_a_tokens_buyback_locked_remove,Reserve A Tokens Buyback Locked Remove
reserve_a_tokens_buyback_locked_rewards,Reserve A Tokens Buyback Locked Rewards
reserve_a_tokens_staking_vesting_locked,Reserve A Tokens Staking Vesting Locked
