Original Name,User-Friendly Name,Table
strategic_partners_a_tokens_vested,Strategic Partners A Tokens Vested,simulation_data
strategic_partners_a_tokens_vested_cum,Strategic Partners A Tokens Vested Cum,simulation_data
strategic_partners_a_tokens_airdropped,Strategic Partners A Tokens Airdropped,simulation_data
strategic_partners_a_tokens_airdropped_cum,Strategic Partners A Tokens Airdropped Cum,simulation_data
strategic_partners_a_tokens_incentivised,Strategic Partners A Tokens Incentivised,simulation_data
strategic_partners_a_tokens_incentivised_cum,Strategic Partners A Tokens Incentivised Cum,simulation_data
strategic_partners_a_tokens_apr_locked,Strategic Partners A Tokens Apr Locked,simulation_data
strategic_partners_a_tokens_apr_locked_cum,Strategic Partners A Tokens Apr Locked Cum,simulation_data
strategic_partners_a_tokens_apr_locked_remove,Strategic Partners A Tokens Apr Locked Remove,simulation_data
strategic_partners_a_tokens_apr_locked_rewards,Strategic Partners A Tokens Apr Locked Rewards,simulation_data
strategic_partners_a_tokens_buyback_locked,Strategic Partners A Tokens Buyback Locked,simulation_data
strategic_partners_a_tokens_buyback_locked_cum,Strategic Partners A Tokens Buyback Locked Cum,simulation_data
strategic_partners_a_tokens_buyback_locked_remove,Strategic Partners A Tokens Buyback Locked Remove,simulation_data
strategic_partners_a_tokens_buyback_locked_rewards,Strategic Partners A Tokens Buyback Locked Rewards,simulation_data
